Date,Technology,Consumer Discretionary,Energy,Health Care,Financials
2020-01-03,,,,,
2020-01-06,,,,,
2020-01-07,,,,,
2020-01-08,,,,,
2020-01-09,,,,,
2020-01-10,,,,,
2020-01-13,,,,,
2020-01-14,,,,,
2020-01-15,,,,,
2020-01-16,,,,,
2020-01-17,,,,,
2020-01-21,,,,,
2020-01-22,,,,,
2020-01-23,,,,,
2020-01-24,,,,,
2020-01-27,,,,,
2020-01-28,,,,,
2020-01-29,,,,,
2020-01-30,,,,,
2020-01-31,,,,,
2020-02-03,,,,,
2020-02-04,,,,,
2020-02-05,,,,,
2020-02-06,,,,,
2020-02-07,,,,,
2020-02-10,,,,,
2020-02-11,,,,,
2020-02-12,,,,,
2020-02-13,,,,,
2020-02-14,0.1803452045204344,0.11321501161026364,0.2043167691414568,0.13441580169948417,0.14009991003405317
2020-02-18,0.17646320746440966,0.10946882878436118,0.20479379959663477,0.13211663803889487,0.13890529586420472
2020-02-19,0.17821173942228544,0.1097467784257767,0.20805056020035578,0.13162825234301162,0.14044731537253843
2020-02-20,0.18245047544699852,0.10939931597148513,0.2081464043274659,0.13305759087748423,0.13909080259699952
2020-02-21,0.1954474168734982,0.11977142814626661,0.20603609125757488,0.13187573242622425,0.14100551428569882
2020-02-24,0.23036760820969077,0.1569789310813951,0.23816018079844622,0.1604191300896962,0.16837407540371113
2020-02-25,0.24870240061770682,0.1742172692935447,0.26387945221332376,0.18176043575190476,0.19264369873327747
2020-02-26,0.24610940396513575,0.17488628269557882,0.2719684433613836,0.1817550088785908,0.1913011154148916
2020-02-27,0.29017097712758305,0.20825766694341502,0.30201509128642007,0.20271657368820237,0.22390278671402974
2020-02-28,0.2914912072701093,0.20853509301134895,0.3029120544942262,0.20153658779120773,0.23374051287089498
2020-03-02,0.3371390759954741,0.2326214899107802,0.3338341949029683,0.24837382254487195,0.28211557442427976
2020-03-03,0.3529538944974486,0.2406653268930588,0.3404008101873269,0.25662024211223583,0.2983841264156673
2020-03-04,0.37654748063127835,0.26401267567085895,0.35138990046492624,0.3113609506056126,0.3173905906706848
2020-03-05,0.38657041538961523,0.28343530414605766,0.3616993514472684,0.3176121640168966,0.342443770639661
2020-03-06,0.38988647148425504,0.28538526839680806,0.3875324643097178,0.3176341674810199,0.35257129447342894
2020-03-09,0.4436592370076642,0.3325538370403348,0.677781256433667,0.3468070761996106,0.4587805062567929
2020-03-10,0.4863167907424475,0.37414429374365016,0.7010295928870567,0.3631926417174538,0.49853119687480174
2020-03-11,0.49882020128989296,0.4011037154484506,0.7079583031886396,0.3773707951576512,0.5138658992317715
2020-03-12,0.5664284270527151,0.4880288919668193,0.7753763088908039,0.4302109173500471,0.588252765627276
2020-03-13,0.6716713590477672,0.5285100652942095,0.8370563519657468,0.4820627439308668,0.7187296595534746
2020-03-16,0.7738196978773713,0.6325845318504159,0.9056016553923505,0.5543026133068175,0.8094448255911227
2020-03-17,0.8026234641042906,0.646536350018979,0.908728186702281,0.5876877004581953,0.8305661406906313
2020-03-18,0.801668650275569,0.6556036901253537,0.9744054760155937,0.5898644613417473,0.8552663820523829
2020-03-19,0.8013552081900679,0.6678854271949377,0.9948769019617504,0.5864764199185785,0.85592353608098
2020-03-20,0.8068020733448873,0.669536901071679,0.9987951543156289,0.5928867205297049,0.8573633983148206
2020-03-23,0.8068021777167507,0.6703429686985489,1.0062968019255594,0.6061780126198643,0.8656374883564667
2020-03-24,0.8682050816827525,0.7344281596794434,1.1394053146674556,0.6554104216896589,0.9559885179737858
2020-03-25,0.8683041922176574,0.736877982439279,1.15237128395983,0.6570568139297162,0.961927766305564
2020-03-26,0.8898165583357428,0.7491916190710093,1.1716928023971542,0.6906342823124987,0.9855541044387309
2020-03-27,0.89720474879388,0.7527176886521617,1.180400478243053,0.6922640359840843,0.9868874968770425
2020-03-30,0.90788938173686,0.7573343981558696,1.1827425460903072,0.7086127114431044,0.9901236101929332
2020-03-31,0.9086675479411758,0.7577895232800735,1.1863729586581577,0.7086118445642938,0.9913693844650868
