Year,Sector,return,rank
2020,Technology,0.3810481882507233,1.0
2020,Consumer Discretionary,0.2973375121823161,2.0
2020,Health Care,0.16403602492256786,3.0
2020,Financials,0.00953107715952961,4.0
2020,Energy,-0.24356028818537157,5.0
2021,Energy,0.5327984779562309,1.0
2021,Financials,0.34797840208528674,2.0
2021,Technology,0.34744093381821495,3.0
2021,Consumer Discretionary,0.27928110232455317,4.0
2021,Health Care,0.2603858236919838,5.0
2022,Energy,0.6432489521886311,1.0
2022,Health Care,-0.020792633476282907,2.0
2022,Financials,-0.10586455325955091,3.0
2022,Technology,-0.27726273429151405,4.0
2022,Consumer Discretionary,-0.36272183460298646,5.0
2023,Technology,0.5601836148667194,1.0
2023,Consumer Discretionary,0.3963929622970481,2.0
2023,Financials,0.12030937958190746,3.0
2023,Health Care,0.020665768165314846,4.0
2023,Energy,-0.006302364628161583,5.0
2024,Financials,0.3055623555782816,1.0
2024,Consumer Discretionary,0.2651150122344561,2.0
2024,Technology,0.21630633583543224,3.0
2024,Energy,0.055592037612582246,4.0
2024,Health Care,0.024744350343506305,5.0
